"method","split","acc_mean","acc_std"
"relationnet","train","61.333333333333336","7.85045410340253"
"relationnet","val","46.22222222222223","3.8232556742411683"
"relationnet","test","51.111111111111114","1.662958838566196"
"relationnet","train","82.66666666666667","1.0886621079036367"
"relationnet","val","52.44444444444445","10.904750352342486"
"relationnet","test","50.666666666666664","7.620634755325441"
"relationnet","train","84","8.91108340256152"
"relationnet","val","62.22222222222222","9.511526470681197"
"relationnet","test","49.77777777777778","7.083278866892988"
"relationnet","train","92","3.56941742315756"
"relationnet","val","35.77777777777778","5.1448164012400985"
"relationnet","test","32.098765432098766","2.5180343277001427"
"relationnet","train","68.88888888888889","6.190394789859606"
"relationnet","val","66.22222222222223","7.2486695245778145"
"relationnet","test","48.88888888888889","4.532461789860252"
"relationnet","train","97.55555555555556","1.3698697784375478"
"relationnet","val","40.44444444444444","10.891156226526974"
"relationnet","test","28.395061728395063","5.420863802493866"
"relationnet","train","65.33333333333333","15.357468927263112"
"relationnet","val","47.55555555555555","1.6629588385661993"
"relationnet","test","36","8.640987597877148"
"relationnet","train","96.66666666666667","1.632993161855452"
"relationnet","val","41.333333333333336","4.45554170128076"
"relationnet","test","31.358024691358025","2.2897823445668393"
"relationnet","train","56.888888888888886","3.1426968052735433"
"relationnet","val","48.44444444444445","14.780701465169681"
"relationnet","test","51.111111111111114","17.632741711002108"
"relationnet","train","65.55555555555554","2.0608041101101513"
"relationnet","val","34.666666666666664","1.4401645996461914"
"relationnet","test","30.37037037037037","1.6001828884957685"
"relationnet","train","61.111111111111114","5.05769185632935"
"relationnet","val","51.333333333333336","1.8856180831641234"
"relationnet","test","31.358024691358025","5.874260372034727"
"relationnet","train","77.33333333333333","8.911083402561525"
"relationnet","val","52.444444444444436","20.722743514444023"
"relationnet","test","58.22222222222223","5.3702426549309195"
"relationnet","train","88.8888888888889","6.06955568166563"
"relationnet","val","47.555555555555564","2.5724082006200506"
"relationnet","test","36.54320987654321","2.444319737434978"
"relationnet","train","71.11111111111111","13.079056861833035"
"relationnet","val","63.11111111111111","9.064923579720503"
"relationnet","test","40.88888888888889","12.896549447597254"
"relationnet","train","86.22222222222223","2.060804110110151"
"relationnet","val","41.55555555555555","6.7622773576457496"
"relationnet","test","36.54320987654321","3.5438765665203276"
"relationnet","train","54.666666666666664","4.9888765156985855"
"relationnet","val","44.88888888888889","8.171011693711213"
"relationnet","test","51.111111111111114","6.651835354264785"
"relationnet","train","92.22222222222221","1.2570787221094202"
"relationnet","val","43.11111111111111","1.7497795275581807"
"relationnet","test","34.567901234567906","0.6983770678385652"
"relationnet","train","64.8888888888889","23.281423739926748"
"relationnet","val","54.22222222222223","13.784944372685173"
"relationnet","test","56.88888888888889","6.562143582325953"
"relationnet","train","73.77777777777779","6.762277357645751"
"relationnet","val","39.11111111111111","4.085505846855608"
"relationnet","test","30.37037037037037","3.2003657769915357"
"relationnet","train","42.666666666666664","16.25719214059723"
"relationnet","val","52","7.620634755325443"
"relationnet","test","51.11111111111111","12.139111363331256"
"relationnet","train","59.77777777777777","4.755763235340594"
"relationnet","val","40","3.265986323710904"
"relationnet","test","31.604938271604937","2.1240309301339844"
"relationnet","train","68.88888888888889","17.429930267668954"
"relationnet","val","58.22222222222222","15.293022696964671"
"relationnet","test","49.333333333333336","11.775681155103793"
"relationnet","train","84.66666666666666","2.8803291992923854"
"relationnet","val","35.555555555555564","1.369869778437551"
"relationnet","test","39.75308641975308","4.925910455125925"
"relationnet","train","95.77777777777779","3.705184889007352"
"relationnet","val","47.333333333333336","6.949553676049728"
"relationnet","test","41.481481481481474","3.7770514915502096"
"relationnet","train","54.22222222222223","9.511526470681197"
"relationnet","val","53.333333333333336","8.219218670625303"
"relationnet","test","48.44444444444445","10.685169137930057"
"relationnet","train","86.8888888888889","5.0576918563293525"
"relationnet","val","30.666666666666668","4.320493798938572"
"relationnet","test","29.1358024691358","3.5438765665203285"
"relationnet","train","64","10.385174618264818"
"relationnet","val","51.111111111111114","9.258962958222073"
"relationnet","test","62.22222222222222","6.999118110232719"
"relationnet","train","77.33333333333333","6.622073078111707"
"relationnet","val","46.22222222222223","5.1448164012401"
"relationnet","test","34.567901234567906","5.072256440536823"
"relationnet","train","77.77777777777777","8.243216440440623"
"relationnet","val","59.111111111111114","3.499559055116358"
"relationnet","test","41.77777777777778","7.248669524577818"
"relationnet","train","87.77777777777779","0.8314794192830975"
"relationnet","val","40.888888888888886","1.9116278371205857"
"relationnet","test","33.82716049382716","4.027038624765455"
"relationnet","train","70.66666666666667","9.301533127313935"
"relationnet","val","47.555555555555564","2.739739556875102"
"relationnet","test","47.555555555555564","10.115383712658701"
"relationnet","train","89.55555555555554","2.5141574442188332"
"relationnet","val","35.333333333333336","3.9252270517012633"
"relationnet","test","23.209876543209873","2.9834681416282898"
"relationnet","train","65.33333333333333","7.542472332656507"
"relationnet","val","49.333333333333336","4.988876515698592"
"relationnet","test","48","6.061414087549268"
"relationnet","train","97.55555555555556","1.5713484026367701"
"relationnet","val","42.88888888888889","5.506449641495055"
"relationnet","test","30.37037037037037","3.7770514915502127"
"relationnet","train","58.666666666666664","9.67624046981211"
"relationnet","val","64.8888888888889","4.121608220220315"
"relationnet","test","55.11111111111111","10.904750352342486"
"relationnet","train","80.8888888888889","7.020252888413914"
"relationnet","val","40.22222222222222","4.629481479111035"
"relationnet","test","37.77777777777778","2.0951312035156957"
"relationnet","train","28.88888888888889","9.064923579720508"
"relationnet","val","20.222222222222225","3.281071791162978"
"relationnet","test","15.06172839506173","2.444319737434979"
