"method","split","acc_mean","acc_std"
"relationnet","train","92.8888888888889","9.130061592966284"
"relationnet","val","57.77777777777778","4.399775527382964"
"relationnet","test","52.44444444444445","2.2662308949301253"
"relationnet","train","93.33333333333333","1.8856180831641334"
"relationnet","val","64.44444444444444","7.410369778014698"
"relationnet","test","48.44444444444445","6.651835354264785"
"relationnet","train","94.22222222222223","1.6629588385661966"
"relationnet","val","58.666666666666664","9.797958971132715"
"relationnet","test","44.888888888888886","10.740485309861842"
"relationnet","train","77.77777777777777","9.878271453730164"
"relationnet","val","58.666666666666664","9.301533127313938"
"relationnet","test","47.55555555555555","6.28539361054709"
"relationnet","train","78.22222222222221","3.4995590551163613"
"relationnet","val","61.333333333333336","18.571184369578827"
"relationnet","test","51.555555555555564","5.370242654930922"
"relationnet","train","69.33333333333333","19.985179694148552"
"relationnet","val","52","6.798692684790379"
"relationnet","test","53.333333333333336","5.4433105395181745"
"relationnet","train","91.55555555555556","6.37897781973659"
"relationnet","val","60","6.62207307811171"
"relationnet","test","47.11111111111111","6.651835354264788"
"relationnet","train","72","13.063945294843615"
"relationnet","val","66.22222222222223","10.115383712658701"
"relationnet","test","41.333333333333336","6.798692684790381"
"relationnet","train","88","8.911083402561523"
"relationnet","val","63.11111111111111","4.532461789860259"
"relationnet","test","48.444444444444436","7.723620976436784"
"relationnet","train","52","3.2659863237109072"
"relationnet","val","47.555555555555564","11.742084278775915"
"relationnet","test","42.22222222222222","4.399775527382961"
